# ECalBin GEMLayer xMin xMax yMin yMax
0 0 0 0 0 0
0 1 0 0 0 0
0 2 0 0 0 0
0 3 0 0 0 0
0 4 0 0 0 0
0 5 0 0 0 0
0 6 0 0 0 0
0 7 0 0 0 0
1 0 -0.7 -0.5 -0.1 0.1
1 1 -0.7 -0.55 -0.1 0.1
1 2 -0.75 -0.55 0 0.15
1 3 -0.75 -0.6 -0.1 0.15
1 4 0 0 0 0
1 5 0 0 0 0
1 6 -0.9 -0.75 -0.1 0.1
1 7 -0.9 -0.75 -0.1 0.15
2 0 -0.7 -0.45 -0.1 0.2
2 1 -0.7 -0.5 -0.15 0.2
2 2 -0.75 -0.55 -0.05 0.2
2 3 -0.75 -0.55 -0.15 0.2
2 4 -0.8 -0.6 -0.15 0.2
2 5 0 0 0 0
2 6 -0.9 -0.7 -0.05 0.2
2 7 -0.9 -0.7 -0.15 0.2
3 0 -0.7 -0.5 -0.15 0.2
3 1 -0.7 -0.5 -0.1 0.2
3 2 -0.75 -0.55 -0.15 0.2
3 3 -0.8 -0.6 -0.15 0.2
3 4 -0.8 -0.6 -0.05 0.2
3 5 -0.8 -0.65 -0.05 0.2
3 6 -0.85 -0.7 -0.15 0.25
3 7 -0.9 -0.75 -0.15 0.2
4 0 -0.7 -0.5 -0.2 0.1
4 1 -0.75 -0.5 -0.2 0.1
4 2 -0.75 -0.55 -0.2 0.1
4 3 -0.8 -0.55 -0.2 0.1
4 4 -0.8 -0.6 -0.2 0.1
4 5 -0.8 -0.65 -0.15 0.1
4 6 -0.95 -0.7 -0.2 0.1
4 7 -0.95 -0.7 -0.2 0.1
5 0 -0.7 -0.45 -0.25 0.15
5 1 -0.7 -0.45 -0.2 0.1
5 2 -0.75 -0.5 -0.25 0.15
5 3 -0.8 -0.55 -0.2 0.15
5 4 -0.8 -0.6 -0.25 0.15
5 5 -0.8 -0.6 -0.2 0.15
5 6 -0.9 -0.65 -0.2 0.15
5 7 -0.95 -0.7 -0.25 0.15
6 0 -0.7 -0.45 -0.2 0.15
6 1 -0.7 -0.45 -0.2 0.2
6 2 -0.75 -0.5 -0.2 0.15
6 3 -0.8 -0.55 -0.2 0.15
6 4 -0.8 -0.55 -0.2 0.15
6 5 -0.8 -0.6 -0.2 0.2
6 6 -0.9 -0.65 -0.2 0.2
6 7 -0.95 -0.65 -0.2 0.15
7 0 -0.65 -0.4 -0.15 0.2
7 1 -0.7 -0.45 -0.15 0.2
7 2 -0.7 -0.45 -0.15 0.2
7 3 -0.75 -0.5 -0.15 0.25
7 4 -0.8 -0.55 -0.15 0.2
7 5 -0.8 -0.55 -0.15 0.25
7 6 -0.85 -0.6 -0.15 0.25
7 7 -0.9 -0.65 -0.15 0.2
8 0 -0.6 -0.35 -0.1 0.25
8 1 -0.6 -0.35 -0.1 0.25
8 2 -0.65 -0.4 -0.1 0.25
8 3 -0.7 -0.4 -0.1 0.25
8 4 -0.7 -0.45 -0.1 0.25
8 5 -0.75 -0.5 -0.1 0.3
8 6 -0.8 -0.5 -0.1 0.3
8 7 -0.8 -0.55 -0.1 0.3
9 0 -0.6 -0.35 -0.1 0.25
9 1 -0.6 -0.35 -0.1 0.25
9 2 -0.65 -0.35 -0.1 0.25
9 3 -0.65 -0.4 -0.1 0.3
9 4 -0.7 -0.45 -0.1 0.25
9 5 -0.75 -0.45 -0.1 0.3
9 6 -0.75 -0.5 -0.05 0.3
9 7 -0.8 -0.55 -0.05 0.3
10 0 -0.7 -0.45 -0.25 0.05
10 1 -0.7 -0.45 -0.25 0.05
10 2 -0.75 -0.5 -0.25 0.05
10 3 -0.8 -0.55 -0.25 0.05
10 4 -0.8 -0.55 -0.25 0.05
10 5 -0.8 -0.6 -0.25 0.05
10 6 -0.9 -0.65 -0.3 0.05
10 7 -0.95 -0.65 -0.3 0.05
11 0 -0.65 -0.4 -0.25 0.1
11 1 -0.7 -0.45 -0.25 0.1
11 2 -0.75 -0.5 -0.25 0.1
11 3 -0.75 -0.5 -0.25 0.1
11 4 -0.8 -0.55 -0.25 0.1
11 5 -0.8 -0.6 -0.25 0.1
11 6 -0.9 -0.65 -0.3 0.05
11 7 -0.9 -0.65 -0.3 0.1
12 0 -0.65 -0.4 -0.25 0.15
12 1 -0.7 -0.45 -0.25 0.1
12 2 -0.7 -0.45 -0.25 0.15
12 3 -0.75 -0.45 -0.25 0.15
12 4 -0.8 -0.5 -0.25 0.1
12 5 -0.8 -0.55 -0.25 0.15
12 6 -0.9 -0.6 -0.25 0.15
12 7 -0.9 -0.6 -0.25 0.1
13 0 -0.65 -0.4 -0.2 0.15
13 1 -0.65 -0.4 -0.2 0.15
13 2 -0.7 -0.45 -0.2 0.15
13 3 -0.75 -0.45 -0.2 0.2
13 4 -0.75 -0.5 -0.2 0.2
13 5 -0.8 -0.55 -0.2 0.15
13 6 -0.85 -0.55 -0.2 0.2
13 7 -0.85 -0.6 -0.25 0.2
