# ECalBin GEMLayer xMin xMax yMin yMax
0 0 -0.25 -0.05 0.25 0.5
0 1 0.1 0.25 -0.2 0.1
0 2 0.05 0.25 -0.8 -0.65
0 3 -0.2 0 -0.85 -0.7
0 4 0.1 0.25 -0.1 0.1
0 5 -0.2 0 0.5 0.65
0 6 -0.2 0 -0.95 -0.8
0 7 -0.3 -0.15 0.35 0.55
1 0 0 0.25 -0.85 -0.55
1 1 0.05 0.25 -0.85 -0.7
1 2 0.05 0.25 -0.85 -0.7
1 3 0.05 0.25 -0.85 -0.65
1 4 nan nan nan nan
1 5 nan nan nan nan
1 6 0.05 0.3 -1.05 -0.85
1 7 0.05 0.35 -1.1 -0.9
2 0 0 0.25 -0.85 -0.6
2 1 0 0.25 -0.85 -0.6
2 2 0 0.25 -0.85 -0.7
2 3 0.05 0.25 -0.85 -0.7
2 4 0.05 0.25 -0.85 -0.7
2 5 0.05 0.25 -0.85 -0.7
2 6 -0.05 0.35 -1.05 -0.75
2 7 0.05 0.35 -1.1 -0.85
3 0 0 0.25 -0.85 -0.55
3 1 0 0.25 -0.85 -0.6
3 2 0 0.25 -0.85 -0.65
3 3 0 0.25 -0.85 -0.65
3 4 0.05 0.25 -0.85 -0.65
3 5 0.05 0.25 -0.85 -0.75
3 6 0.05 0.35 -1.05 -0.7
3 7 0.05 0.35 -1.1 -0.8
4 0 0.05 0.25 -0.8 -0.55
4 1 0.05 0.25 -0.85 -0.55
4 2 0.05 0.25 -0.85 -0.6
4 3 0.05 0.25 -0.85 -0.65
4 4 0 0.25 -0.85 -0.65
4 5 0.05 0.25 -0.85 -0.7
4 6 0.05 0.35 -1.05 -0.7
4 7 0.1 0.35 -1.05 -0.75
5 0 0.05 0.25 -0.8 -0.5
5 1 0.05 0.25 -0.85 -0.5
5 2 0.05 0.3 -0.85 -0.55
5 3 0.05 0.25 -0.85 -0.55
5 4 0.1 0.25 -0.85 -0.6
5 5 0.1 0.25 -0.85 -0.6
5 6 0.05 0.35 -1 -0.65
5 7 0.15 0.35 -1 -0.65
6 0 nan nan nan nan
6 1 nan nan nan nan
6 2 nan nan nan nan
6 3 nan nan nan nan
6 4 nan nan nan nan
6 5 nan nan nan nan
6 6 nan nan nan nan
6 7 nan nan nan nan
7 0 nan nan nan nan
7 1 nan nan nan nan
7 2 nan nan nan nan
7 3 nan nan nan nan
7 4 nan nan nan nan
7 5 nan nan nan nan
7 6 nan nan nan nan
7 7 nan nan nan nan
8 0 nan nan nan nan
8 1 nan nan nan nan
8 2 nan nan nan nan
8 3 nan nan nan nan
8 4 nan nan nan nan
8 5 nan nan nan nan
8 6 nan nan nan nan
8 7 nan nan nan nan
9 0 nan nan nan nan
9 1 nan nan nan nan
9 2 nan nan nan nan
9 3 nan nan nan nan
9 4 nan nan nan nan
9 5 nan nan nan nan
9 6 nan nan nan nan
9 7 nan nan nan nan
10 0 0 0.2 -0.85 -0.65
10 1 0 0.2 -0.85 -0.7
10 2 0 0.2 -0.85 -0.75
10 3 0 0.2 -0.85 -0.75
10 4 nan nan nan nan
10 5 nan nan nan nan
10 6 0 0.2 -1.05 -0.85
10 7 0 0.2 -1.1 -0.9
11 0 -0.05 0.25 -0.85 -0.6
11 1 -0.1 0.25 -0.85 -0.65
11 2 -0.05 0.25 -0.85 -0.7
11 3 -0.05 0.25 -0.85 -0.7
11 4 0 0.25 -0.85 -0.65
11 5 -0.05 0.1 -0.85 -0.7
11 6 -0.15 0.3 -1.05 -0.8
11 7 -0.1 0.3 -1.1 -0.85
12 0 -0.05 0.25 -0.85 -0.6
12 1 -0.05 0.25 -0.85 -0.6
12 2 -0.05 0.25 -0.85 -0.65
12 3 -0.05 0.25 -0.85 -0.7
12 4 -0.1 0.25 -0.85 -0.7
12 5 -0.05 0.25 -0.85 -0.7
12 6 -0.05 0.3 -1.05 -0.75
12 7 -0.05 0.35 -1.1 -0.8
13 0 -0.05 0.25 -0.8 -0.55
13 1 -0.05 0.25 -0.85 -0.6
13 2 0 0.25 -0.85 -0.6
13 3 -0.05 0.25 -0.85 -0.65
13 4 0 0.25 -0.85 -0.65
13 5 0 0.25 -0.85 -0.7
13 6 0 0.3 -1 -0.7
13 7 0 0.35 -1.05 -0.75
14 0 0 0.25 -0.8 -0.5
14 1 0 0.25 -0.85 -0.45
14 2 0 0.25 -0.85 -0.55
14 3 0 0.25 -0.85 -0.55
14 4 0.05 0.25 -0.85 -0.6
14 5 0 0.25 -0.85 -0.6
14 6 0 0.3 -0.95 -0.7
14 7 0.05 0.35 -1 -0.65
15 0 0 0.25 -0.8 -0.4
15 1 0.05 0.25 -0.8 -0.45
15 2 0.05 0.25 -0.85 -0.5
15 3 0.05 0.25 -0.85 -0.5
15 4 0.05 0.25 -0.85 -0.55
15 5 0.05 0.25 -0.85 -0.6
15 6 0.05 0.35 -0.95 -0.6
15 7 0.1 0.35 -1 -0.6
16 0 0.05 0.25 -0.7 -0.35
16 1 0.05 0.25 -0.7 -0.45
16 2 0.05 0.25 -0.7 -0.45
16 3 0.05 0.25 -0.75 -0.5
16 4 0.1 0.25 -0.8 -0.5
16 5 0.1 0.25 -0.85 -0.6
16 6 0.1 0.35 -0.85 -0.55
16 7 0.1 0.35 -0.9 -0.6
17 0 nan nan nan nan
17 1 nan nan nan nan
17 2 nan nan nan nan
17 3 nan nan nan nan
17 4 nan nan nan nan
17 5 nan nan nan nan
17 6 nan nan nan nan
17 7 nan nan nan nan
18 0 nan nan nan nan
18 1 nan nan nan nan
18 2 nan nan nan nan
18 3 nan nan nan nan
18 4 nan nan nan nan
18 5 nan nan nan nan
18 6 nan nan nan nan
18 7 nan nan nan nan
19 0 nan nan nan nan
19 1 nan nan nan nan
19 2 nan nan nan nan
19 3 nan nan nan nan
