# ECalBin GEMLayer xMin xMax yMin yMax
0 0 -0.2 0.35 0.1 0.25
0 1 -0.25 0.35 0.1 0.25
0 2 -0.25 0.3 0.1 0.25
0 3 -0.25 0.3 0.1 0.25
0 4 -0.3 0.05 0.1 0.25
0 5 -0.3 0.2 0.1 0.25
0 6 -0.35 0.35 0.1 0.3
0 7 -0.35 0.35 0.1 0.35
1 0 -0.3 0.35 0.1 0.25
1 1 -0.25 0.3 0.1 0.25
1 2 -0.25 0.3 0.1 0.25
1 3 -0.8 -0.45 0.1 0.25
1 4 -0.8 -0.5 0.1 0.25
1 5 -0.75 -0.55 0.1 0.25
1 6 -0.9 -0.7 0.1 0.3
1 7 -0.95 -0.75 0.1 0.35
2 0 -0.65 -0.45 0.05 0.25
2 1 -0.7 -0.5 0.05 0.25
2 2 -0.75 -0.55 0.05 0.25
2 3 -0.8 -0.55 0.05 0.25
2 4 -0.8 -0.6 0 0.25
2 5 -0.8 -0.55 0 0.25
2 6 -0.9 -0.65 0.05 0.35
2 7 -0.9 -0.7 0.05 0.35
3 0 -0.65 -0.45 0 0.25
3 1 -0.7 -0.45 0.05 0.25
3 2 -0.75 -0.5 0.05 0.25
3 3 -0.75 -0.55 0.05 0.25
3 4 -0.8 -0.55 0 0.25
3 5 -0.8 -0.45 -0.1 0.25
3 6 -0.9 -0.6 0.05 0.35
3 7 -0.9 -0.65 0.05 0.35
4 0 -0.7 -0.5 -0.1 0.25
4 1 -0.7 -0.55 0 0.25
4 2 -0.75 -0.45 0 0.25
4 3 -0.8 -0.55 0 0.25
4 4 -0.8 -0.6 -0.1 0.25
4 5 -0.8 -0.65 0 0.25
4 6 -0.9 -0.65 0 0.25
4 7 -0.95 -0.7 -0.1 0.25
5 0 -0.7 -0.45 -0.05 0.25
5 1 -0.7 -0.5 -0.05 0.25
5 2 -0.75 -0.5 -0.05 0.25
5 3 -0.8 -0.55 -0.05 0.25
5 4 -0.8 -0.55 -0.05 0.25
5 5 -0.8 -0.6 -0.05 0.25
5 6 -0.9 -0.65 -0.05 0.3
5 7 -0.95 -0.7 -0.05 0.3
6 0 -0.65 -0.4 -0.05 0.25
6 1 -0.7 -0.45 -0.05 0.25
6 2 -0.75 -0.45 -0.05 0.25
6 3 -0.8 -0.5 -0.05 0.25
6 4 -0.8 -0.5 -0.05 0.25
6 5 -0.8 -0.55 -0.05 0.25
6 6 -0.95 -0.6 -0.05 0.3
6 7 -0.95 -0.6 -0.05 0.35
7 0 -0.65 -0.4 0 0.25
7 1 -0.7 -0.4 0 0.25
7 2 -0.75 -0.45 0 0.25
7 3 -0.75 -0.45 0 0.25
7 4 -0.8 -0.5 0 0.25
7 5 -0.8 -0.5 0 0.25
7 6 -0.85 -0.55 0 0.35
7 7 -0.9 -0.55 0 0.35
8 0 -0.65 -0.35 0 0.25
8 1 -0.7 -0.35 0 0.25
8 2 -0.7 -0.4 0 0.25
8 3 -0.75 -0.45 0 0.25
8 4 -0.75 -0.45 0.05 0.25
8 5 -0.8 -0.5 0.05 0.25
8 6 -0.85 -0.45 0.05 0.35
8 7 -0.9 -0.55 0.05 0.35
9 0 -0.65 -0.25 0.05 0.25
9 1 -0.65 -0.35 0.05 0.25
9 2 -0.7 -0.35 0.05 0.25
9 3 -0.75 -0.4 0.05 0.25
9 4 -0.75 -0.35 0 0.25
9 5 -0.8 -0.4 0.05 0.25
9 6 -0.8 -0.4 0.1 0.35
9 7 -0.9 -0.45 0.1 0.35
10 0 -0.7 -0.5 -0.2 0.2
10 1 -0.7 -0.55 -0.25 0.2
10 2 -0.75 -0.55 -0.1 0.2
10 3 -0.8 -0.6 -0.1 0.15
10 4 -0.8 -0.65 -0.25 0.2
10 5 -0.25 0.15 0.1 0.25
10 6 -0.9 -0.7 -0.3 0.2
10 7 -1 -0.7 -0.15 0.25
11 0 -0.7 -0.45 -0.15 0.2
11 1 -0.7 -0.5 -0.15 0.2
11 2 -0.8 -0.5 -0.15 0.2
11 3 -0.8 -0.55 -0.15 0.2
11 4 -0.8 -0.6 -0.15 0.2
11 5 -0.8 -0.6 -0.15 0.25
11 6 -0.9 -0.65 -0.1 0.25
11 7 -0.95 -0.7 -0.1 0.25
12 0 -0.65 -0.4 -0.1 0.25
12 1 -0.7 -0.45 -0.1 0.25
12 2 -0.75 -0.45 -0.1 0.25
12 3 -0.8 -0.55 -0.15 0.25
12 4 -0.8 -0.55 -0.1 0.25
12 5 -0.8 -0.55 -0.1 0.25
12 6 -0.9 -0.55 -0.1 0.3
12 7 -0.9 -0.6 -0.15 0.3
13 0 -0.6 -0.35 -0.05 0.25
13 1 -0.65 -0.4 -0.05 0.25
13 2 -0.7 -0.45 -0.1 0.25
13 3 -0.75 -0.45 -0.05 0.25
13 4 -0.75 -0.5 -0.05 0.25
13 5 -0.8 -0.5 -0.1 0.25
13 6 -0.85 -0.5 -0.1 0.3
13 7 -0.9 -0.55 -0.1 0.35
14 0 -0.6 -0.3 0 0.25
14 1 -0.6 -0.35 0 0.25
14 2 -0.65 -0.35 -0.05 0.25
14 3 -0.7 -0.4 0 0.25
14 4 -0.7 -0.4 -0.05 0.25
14 5 -0.75 -0.4 -0.05 0.25
14 6 -0.8 -0.45 -0.05 0.3
14 7 -0.8 -0.5 0 0.3
15 0 -0.55 -0.25 0 0.25
15 1 -0.55 -0.3 0 0.25
15 2 -0.6 -0.35 0 0.25
15 3 -0.65 -0.35 0 0.25
15 4 -0.7 -0.35 0 0.25
15 5 -0.8 -0.4 0 0.25
15 6 -0.75 -0.4 0 0.35
15 7 -0.8 -0.4 0 0.35
16 0 -0.5 -0.2 0.05 0.25
16 1 -0.55 -0.25 0.05 0.25
16 2 -0.55 -0.3 0.05 0.25
16 3 -0.6 -0.3 0.05 0.25
16 4 -0.65 -0.1 0.05 0.25
16 5 -0.65 -0.35 0.05 0.25
16 6 -0.7 -0.35 0.1 0.35
16 7 -0.7 -0.35 0.05 0.35
17 0 -0.7 -0.45 -0.25 0.15
17 1 -0.7 -0.45 -0.25 0.15
17 2 -0.75 -0.5 -0.25 0.15
17 3 -0.8 -0.55 -0.25 0.15
17 4 -0.8 -0.55 -0.25 0.15
17 5 -0.8 -0.6 -0.25 0.15
17 6 -0.9 -0.65 -0.35 0.15
17 7 -0.95 -0.65 -0.3 0.15
18 0 -0.65 -0.4 -0.2 0.15
18 1 -0.7 -0.4 -0.2 0.15
18 2 -0.75 -0.45 -0.2 0.15
18 3 -0.8 -0.5 -0.2 0.15
18 4 -0.8 -0.5 -0.2 0.2
18 5 -0.8 -0.55 -0.2 0.2
18 6 -0.95 -0.55 -0.25 0.15
18 7 -0.95 -0.6 -0.25 0.2
19 0 -0.6 -0.35 -0.15 0.2
19 1 -0.7 -0.4 -0.15 0.2
19 2 -0.7 -0.4 -0.2 0.2
19 3 -0.75 -0.4 -0.2 0.2
19 4 -0.8 -0.45 -0.15 0.25
19 5 -0.8 -0.5 -0.15 0.2
19 6 -0.85 -0.5 -0.2 0.25
19 7 -0.9 -0.5 -0.2 0.25
20 0 -0.6 -0.35 -0.1 0.2
20 1 -0.6 -0.35 -0.1 0.25
20 2 -0.65 -0.35 -0.1 0.25
20 3 -0.7 -0.4 -0.1 0.25
20 4 -0.7 -0.45 -0.1 0.25
20 5 -0.75 -0.4 -0.1 0.25
20 6 -0.8 -0.4 -0.1 0.3
20 7 -0.8 -0.45 -0.1 0.3
21 0 -0.55 -0.3 -0.05 0.25
21 1 -0.55 -0.3 -0.05 0.25
21 2 -0.65 -0.35 -0.05 0.25
21 3 -0.6 -0.35 -0.05 0.25
21 4 -0.65 -0.4 -0.05 0.25
21 5 -0.7 -0.4 -0.05 0.25
21 6 -0.7 -0.4 -0.05 0.3
21 7 -0.8 -0.4 -0.05 0.3
22 0 -0.5 -0.25 -0.05 0.25
22 1 -0.5 -0.25 0 0.25
22 2 -0.55 -0.3 0 0.25
22 3 -0.6 -0.3 0 0.25
22 4 -0.6 -0.3 -0.05 0.25
22 5 -0.65 -0.35 0 0.25
22 6 -0.65 -0.4 0 0.3
22 7 -0.7 -0.35 0 0.35
23 0 -0.45 -0.2 0 0.25
23 1 -0.5 -0.2 0 0.25
23 2 -0.5 -0.25 0.05 0.25
23 3 -0.55 -0.3 0.05 0.25
23 4 -0.6 -0.3 0.05 0.25
23 5 -0.6 -0.35 0.05 0.25
23 6 -0.65 -0.3 0.05 0.35
23 7 -0.65 -0.35 0.05 0.35
24 0 -0.7 -0.45 -0.25 0.05
24 1 -0.7 -0.45 -0.25 0.05
24 2 -0.75 -0.5 -0.25 0.05
24 3 -0.8 -0.55 -0.25 0.05
24 4 -0.8 -0.55 -0.25 0.05
24 5 -0.8 -0.6 -0.25 0.05
24 6 -0.9 -0.6 -0.3 0.1
24 7 -0.95 -0.65 -0.3 0.05
25 0 -0.65 -0.4 -0.25 0.1
25 1 -0.7 -0.4 -0.25 0.1
25 2 -0.75 -0.4 -0.25 0.1
25 3 -0.8 -0.45 -0.25 0.1
25 4 -0.8 -0.45 -0.25 0.1
25 5 -0.8 -0.5 -0.25 0.15
25 6 -0.85 -0.55 -0.3 0.15
25 7 -0.95 -0.55 -0.35 0.2
26 0 -0.6 -0.35 -0.25 0.15
26 1 -0.65 -0.35 -0.25 0.15
26 2 -0.65 -0.4 -0.2 0.15
26 3 -0.75 -0.4 -0.25 0.15
26 4 -0.75 -0.45 -0.25 0.15
26 5 -0.8 -0.4 -0.25 0.2
26 6 -0.85 -0.45 -0.25 0.15
26 7 -0.85 -0.55 -0.25 0.15
27 0 -0.55 -0.3 -0.15 0.2
27 1 -0.6 -0.3 -0.15 0.2
27 2 -0.6 -0.3 -0.15 0.2
27 3 -0.65 -0.35 -0.15 0.25
27 4 -0.7 -0.4 -0.15 0.2
27 5 -0.7 -0.4 -0.2 0.2
27 6 -0.75 -0.4 -0.2 0.25
27 7 -0.8 -0.45 -0.2 0.2
28 0 -0.5 -0.25 -0.1 0.25
28 1 -0.55 -0.3 -0.15 0.2
28 2 -0.55 -0.3 -0.1 0.25
