Lists helpful values for each GEM module accessible in gemInfoMap struct
Generated by GetGemInfoMap.cxx
modID       layer       Pos                   Size                      Uangle      Vangle      NstripsU    NstripsV    NuAPVs      NvAPVs      
--------------------------------------------------------------------------------------------------------------------------------------------
0           0           (-0.0022, -0.0003, 0.001)(1.5, 0.4, 0.001)         180         135         3968        3456        31          27          
1           1           (-0.0021, 0.0008, 0.0708)(1.5, 0.4, 0.001)         180         -135        3968        3456        31          27          
2           2           (0.0004, -0.0004, 0.2102)(1.5, 0.4, 0.001)         150         -150        3840        3840        30          30          
3           3           (0.0038, 0.0066, 0.3496)(1.5, 0.4, 0.001)         150         -150        3840        3840        30          30          
4           4           (0.006, -0.0009, 0.4961)(1.5, 0.4, 0.001)         150         -150        3840        3840        30          30          
5           5           (0.0078, 0.0022, 0.6341)(1.5, 0.4, 0.001)         150         -150        3840        3840        30          30          
6           6           (-0.7628, 0.0034, 0.7926)(0.512, 0.6144, 0.001)    0           -90         1280        1536        10          12          
7           6           (-0.251, 0.0022, 0.7446)(0.512, 0.6144, 0.001)    0           -90         1280        1536        10          12          
8           6           (0.262, -0.0007, 0.7768)(0.512, 0.6144, 0.001)    0           -90         1280        1536        10          12          
9           6           (0.7722, 0.0002, 0.7267)(0.512, 0.6144, 0.001)    0           -90         1280        1536        10          12          
10          7           (-0.7617, 0.0043, 0.9181)(0.512, 0.6144, 0.001)    0           -90         1280        1536        10          12          
11          7           (-0.2494, 0.0028, 0.871)(0.512, 0.6144, 0.001)    0           -90         1280        1536        10          12          
12          7           (0.2617, 0.0013, 0.9067)(0.512, 0.6144, 0.001)    0           -90         1280        1536        10          12          
13          7           (0.773, 0.0007, 0.8541)(0.512, 0.6144, 0.001)    0           -90         1280        1536        10          12          
